"Date","Americas_chge","Americas_7d_ave","Europe_chge","Europe_7d_ave","Asia_chge","Asia_7d_ave","Africa_chge","Africa_7d_ave","Oceania_chge","Oceania_7d_ave","World_chge","World_7d_ave"
2020-08-24,94401,122240.142857143,36883,27376.4285714286,86323,93020.7142857143,7516,9630.71428571429,145,199.285714285714,225268,252467.571428571
2020-08-25,127166,121350.857142857,27029,27965,82089,91450.2857142857,7543,9474.42857142857,174,190.428571428571,244001,250431.142857143
2020-08-26,135627,120446,26201,27703.5714285714,112985,93526.5714285714,8855,9183,125,172.285714285714,283793,251031.571428571
2020-08-27,131762,120046.428571429,39860,29075,103575,94475.8571428571,8555,8889.57142857143,143,164.714285714286,283895,252651.714285714
2020-08-28,136202,122166.714285714,35258,29514,103917,95437.4285714286,8109,8580.57142857143,141,156.142857142857,283627,255854.857142857
2020-08-29,126899,120712.571428571,23720,29844.5714285714,104678,96802.5714285714,8370,8285.85714285714,125,143.714285714286,263793,255789.428571429
2020-08-30,87096,119879,21869,30117.1428571429,103452,99574.1428571429,8457,8200.71428571429,91,134.857142857143,220965,257906
2020-08-31,118765,123359.571428571,43031,30995.4285714286,94203,100699.857142857,6805,8099.14285714286,87,126.571428571429,262891,263280.714285714
2020-09-01,124043,122913.428571429,29784,31389,103830,103805.714285714,7157,8044,111,117.571428571429,264925,266269.857142857
2020-09-02,128535,121900.285714286,35663,32740.7142857143,110452,103443.857142857,8714,8023.85714285714,139,119.571428571429,283504,266228.571428571
2020-09-03,125090,120947.142857143,36953,32325.4285714286,111537,104581.285714286,7747,7908.42857142857,92,112.285714285714,281419,265874.857142857
2020-09-04,148535,122709,41507,33218.1428571429,115313,106209.285714286,8578,7975.42857142857,82,103.857142857143,314016,270216.142857143
2020-09-05,117725,121398.428571429,29596,34057.5714285714,115189,107710.857142857,7392,7835.71428571429,87,98.4285714285714,269991,271101.571428571
2020-09-06,79127,120260,26452,34712.2857142857,117006,109647.142857143,7823,7745.14285714286,56,93.4285714285714,230465,272458.714285714
2020-09-07,58841,111699.428571429,50998,35850.4285714286,101108,110633.571428571,6876,7755.28571428571,58,89.2857142857143,217882,266028.857142857
2020-09-08,78713,105223.714285714,37235,36914.8571428571,118467,112724.571428571,7679,7829.85714285714,104,88.2857142857143,242199,262782.285714286
2020-09-09,109678,102529.857142857,41147,37698.2857142857,125637,114893.857142857,8295,7770,65,77.7142857142857,284822,262970.571428571
2020-09-10,118156,101539.285714286,45723,38951.1428571429,127902,117231.714285714,8050,7813.28571428571,44,70.8571428571429,299876,265607.285714286
2020-09-11,134505,99535,49064,40030.7142857143,129061,119195.714285714,8692,7829.57142857143,46,65.7142857142857,321370,266657.857142857
2020-09-12,116922,99420.2857142857,37881,41214.2857142857,124319,120500,7410,7832.14285714286,46,59.8571428571429,286578,269027.428571429
2020-09-13,85589,100343.428571429,29454,41643.1428571429,120884,121054,6748,7678.57142857143,44,58.1428571428571,242719,270778
2020-09-14,85536,104157,55841,42335,115840,123158.571428571,6483,7622.42857142857,51,57.1428571428571,263752,277330.857142857
2020-09-15,112709,109013.571428571,43764,43267.7142857143,122383,123718,6566,7463.42857142857,40,48,285462,283511.285714286
2020-09-16,115103,109788.571428571,50935,44666,131139,124504,7310,7322.71428571429,47,45.4285714285714,304535,286327.428571429
2020-09-17,121518,110268.857142857,55114,46007.5714285714,129598,124746.285714286,8605,7402,48,46,314886,288471.714285714
2020-09-18,130154,109647.285714286,60948,47705.2857142857,126632,124399.285714286,8161,7326.14285714286,26,43.1428571428571,325921,289121.857142857
2020-09-19,114916,109360.714285714,44619,48667.8571428571,123837,124330.428571429,8727,7514.28571428571,17,39,292119,289913.428571429
2020-09-20,87561,109642.428571429,38687,49986.8571428571,117431,123837.142857143,8419,7753,15,34.8571428571429,252114,291255.571428571
2020-09-21,98081,111434.571428571,65877,51420.5714285714,105948,122424,6148,7705.14285714286,30,31.8571428571429,276086,293017.571428571
2020-09-22,106213,110506.571428571,53704,52840.5714285714,117709,121756.285714286,6839,7744.14285714286,49,33.1428571428571,284514,292882.142857143
2020-09-23,82449,105841.714285714,61021,54281.4285714286,123884,120719.857142857,8727,7946.57142857143,11,28,276092,288818.857142857
2020-09-24,155835,110744.142857143,65355,55744.4285714286,123635,119868,8186,7886.71428571429,26,24.8571428571429,353037,294269
2020-09-25,130354,110772.714285714,70001,57037.7142857143,122518,119280.285714286,7977,7860.42857142857,19,23.8571428571429,330870,294976
2020-09-26,108214,109815.285714286,51823,58066.8571428571,121969,119013.428571429,6410,7529.42857142857,26,25.1428571428571,288442,294450.714285714
2020-09-27,84847,109427.571428571,44776,58936.7142857143,113395,118436.857142857,8369,7522.28571428571,4,23.5714285714286,251391,294347.428571429
2020-09-28,81922,107119.142857143,68641,59331.5714285714,98532,117377.428571429,5669,7453.85714285714,13,21.1428571428571,254780,291303.714285714
2020-09-29,112576,108028.142857143,48396,58573.2857142857,114161,116870.571428571,7509,7549.57142857143,26,17.8571428571429,282668,291040
2020-09-30,112661,112344.142857143,79382,61196.2857142857,125702,117130.285714286,8434,7507.71428571429,30,20.5714285714286,326210,298199.714285714
2020-10-01,121175,107392.714285714,70363,61911.7142857143,119486,116537.571428571,7260,7375.42857142857,18,19.4285714285714,318303,293237.714285714
2020-10-02,95396,102398.714285714,76580,62851.5714285714,117018,115751.857142857,8857,7501.14285714286,13,18.5714285714286,297866,288522.857142857
2020-10-03,144415,107570.285714286,71219,65622.4285714286,107560,113693.428571429,8830,7846.85714285714,20,17.7142857142857,332044,294751.714285714
2020-10-04,71613,105679.714285714,73524,69729.2857142857,108160,112945.571428571,8086,7806.42857142857,14,19.1428571428571,261397,296181.142857143
2020-10-05,114937,110396.142857143,83985,71921.2857142857,97358,112777.857142857,4714,7670,28,21.2857142857143,301023,302787.285714286
2020-10-06,126764,112423,84493,77078,108650,111990.571428571,6597,7539.71428571429,12,19.2857142857143,326519,309051.714285714
2020-10-07,124946,114178,98670,79833.4285714286,116808,110720,10543,7841,28,19,350997,312592.714285714
2020-10-08,130215,115469.428571429,111292,85680.4285714286,108881,109205,10908,8362.14285714286,30,20.7142857142857,361327,318739
2020-10-09,127228,120016.857142857,117903,91583.7142857143,107184,107800.142857143,8557,8319.28571428571,22,22,360897,327743.428571429
2020-10-10,125662,117337.857142857,109755,97088.8571428571,108130,107881.571428571,13534,8991.28571428571,20,22,357101,331323
2020-10-11,91547,120185.571428571,87466,99080.5714285714,98897,106558.285714286,8975,9118.28571428571,27,23.8571428571429,286912,334968
2020-10-12,80667,115289.857142857,114710,103469.857142857,90461,105573,5887,9285.85714285714,39,25.4285714285714,291766,333645.571428571
2020-10-13,99141,111343.714285714,112391,107455.285714286,99863,104317.714285714,7834,9462.57142857143,29,27.8571428571429,319259,332608.428571429
2020-10-14,123028,111069.714285714,142928,113777.857142857,104835,102607.285714286,11508,9600.42857142857,35,28.8571428571429,382334,337085.142857143
2020-10-15,139328,112371.571428571,156577,120247.142857143,101943,101616.142857143,9116,9344.42857142857,19,27.2857142857143,406984,343607.571428571
2020-10-16,142826,114599.857142857,157485,125901.714285714,100760,100698.428571429,10686,9648.57142857143,10,25.5714285714286,411771,350875.285714286
2020-10-17,117758,113470.714285714,143881,130776.857142857,96738,99071,14262,9752.57142857143,18,25.2857142857143,372657,353097.571428571
2020-10-18,84585,112476.142857143,132376,137192.571428571,91400,98000,8193,9640.85714285714,9,22.7142857142857,316563,357333.428571429
2020-10-19,129983,119521.285714286,165152,144398.571428571,82375,96844.8571428571,9688,10183.8571428571,7,18.1428571428571,387210,370968.285714286
2020-10-20,127515,123574.714285714,160702,151300.142857143,90943,95570.5714285714,9776,10461.2857142857,63,23,389002,380931.571428571
2020-10-21,135098,125299,200724,159556.714285714,98571,94675.7142857143,10478,10314.1428571429,18,20.5714285714286,444890,389868.142857143
2020-10-22,149002,126681,215394,167959.142857143,97319,94015.1428571429,10970,10579,30,22.1428571428571,472719,399258.857142857
2020-10-23,153786,128246.714285714,234863,179013.142857143,97684,93575.7142857143,10435,10543.1428571429,30,25,496798,411405.571428571
2020-10-24,151043,133001.714285714,205135,187763.714285714,88846,92448.2857142857,11739,10182.7142857143,19,25.1428571428571,456784,423423.714285714
2020-10-25,112798,137032.142857143,153518,190784,85226,91566.2857142857,9094,10311.4285714286,17,26.2857142857143,360653,429722.285714286
2020-10-26,118866,135444,284071,207772.428571429,72736,90189.2857142857,10718,10458.5714285714,20,28.1428571428571,486411,443893.857142857
2020-10-27,146216,138115.571428571,230393,217728.285714286,84954,89333.7142857143,8650,10297.7142857143,20,22,470233,455498.285714286
2020-10-28,149432,140163.285714286,257233,225801,93287,88578.8571428571,11900,10500.8571428571,20,22.2857142857143,511872,465067.142857143
2020-10-29,161345,141926.571428571,284658,235695.857142857,93321,88007.7142857143,11071,10515.2857142857,17,20.4285714285714,550415,476166.571428571
2020-10-30,165019,143531.285714286,300256,245037.714285714,92167,87219.5714285714,13599,10967.2857142857,13,18,571055,486774.714285714
2020-10-31,148084,143108.571428571,230612,248677.285714286,86982,86953.2857142857,11074,10872.2857142857,12,17,476765,489629.142857143
2020-11-01,146329,147898.714285714,218051,257896.285714286,87695,87306,10296,11044,10,16,462384,504162.142857143
2020-11-02,125912,148905.285714286,346250,266779,83354,88822.8571428571,7586,10596.5714285714,20,16,563127,515121.571428571
2020-11-03,172855,152710.857142857,276830,273412.857142857,93160,89995.1428571429,10874,10914.2857142857,22,16.2857142857143,553745,527051.857142857
2020-11-04,172255,155971.285714286,227889,269220.857142857,97395,90582,14002,11214.5714285714,10,14.8571428571429,511552,527006.142857143
2020-11-05,168424,156982.571428571,315962,273692.857142857,96764,91073.8571428571,15393,11832,14,14.4285714285714,596558,533598
2020-11-06,209877,163390.857142857,321460,276722,101783,92447.5714285714,11720,11563.5714285714,10,14,644854,544140.714285714
2020-11-07,187624,169039.428571429,300191,286661.857142857,94048,93457,15017,12126.8571428571,12,14,596892,561301.714285714
2020-11-08,156880,170546.714285714,219660,286891.714285714,94919,94489,12498,12441.4285714286,13,14.4285714285714,483974,564386
2020-11-09,163022,175848.142857143,243905,272271,85707,94825.1428571429,8889,12627.5714285714,8,12.7142857142857,501532,555586.714285714
2020-11-10,200678,179822.857142857,249859,268418,95661,95182.4285714286,13173,12956,4,10.1428571428571,559377,556391.285714286
2020-11-11,236653,189022.571428571,296883,278274.285714286,101058,95705.7142857143,14000,12955.7142857143,8,9.85714285714286,648606,575970.428571429
2020-11-12,239950,199240.571428571,294462,275202.857142857,99340,96073.7142857143,15781,13011.1428571429,5,8.57142857142857,649543,583539.714285714
2020-11-13,251637,205206.285714286,286066,270146.571428571,99674,95772.4285714286,14678,13433.7142857143,10,8.57142857142857,652073,584571
2020-11-14,244310,213304.285714286,242286,261874.428571429,94268,95803.8571428571,14071,13298.5714285714,32,11.4285714285714,594970,584296.428571429
2020-11-15,179241,216498.714285714,200053,259073.428571429,82035,93963.2857142857,12570,13308.8571428571,40,15.2857142857143,473941,582863.142857143
2020-11-16,208096,222937.857142857,235222,257833,80821,93265.2857142857,10304,13511,13,16,534457,587566.714285714
2020-11-17,229870,227108.142857143,273926,261271.142857143,94529,93103.5714285714,12868,13467.4285714286,25,19,611220,594972.857142857
2020-11-18,241962,227866.571428571,262840,256407.857142857,106985,93950.2857142857,15301,13653.2857142857,13,19.7142857142857,627103,591901
2020-11-19,262849,231137.857142857,269525,252845.428571429,107265,95082.4285714286,13934,13389.4285714286,10,20.4285714285714,653585,592478.428571429
2020-11-20,277060,234769.714285714,267254,250158,108675,96368.2857142857,15733,13540.1428571429,20,21.8571428571429,668744,594860
2020-11-21,250236,235616.285714286,220086,246986.571428571,103862,97738.8571428571,13356,13438,24,20.7142857142857,587564,593802
2020-11-22,197503,238225.142857143,172499,243050.285714286,105179,101045.142857143,12779,13467.8571428571,15,17.1428571428571,487981,595807.714285714
2020-11-23,225544,240717.714285714,192501,236947.285714286,97160,103379.285714286,10077,13435.4285714286,36,20.4285714285714,525319,594502.285714286
2020-11-24,244782,242848,225424,230018.428571429,107530,105236.571428571,12503,13383.2857142857,22,20,590261,591508.142857143
2020-11-25,274060,247433.428571429,237570,226408.428571429,109894,105652.142857143,14667,13292.7142857143,28,22.1428571428571,636224,592811.142857143
2020-11-26,192295,237354.285714286,237581,221845,138659,110137,13923,13291.1428571429,15,22.8571428571429,582475,582652.571428571
2020-11-27,291623,239434.714285714,233103,216966.285714286,146352,115519.428571429,16039,13334.8571428571,17,22.4285714285714,687148,585281.714285714
2020-11-28,251485,239613.142857143,193318,213142.285714286,127817,118941.571428571,13396,13340.5714285714,6,19.8571428571429,586031,585062.714285714
2020-11-29,199208,239856.714285714,150714,210030.142857143,125571,121854.714285714,13071,13382.2857142857,16,20,488583,585148.714285714
2020-11-30,218277,238818.571428571,164382,206013.142857143,115580,124486.142857143,10350,13421.2857142857,28,18.8571428571429,508641,582766.142857143
2020-12-01,277719,243523.857142857,200376,202434.857142857,123135,126715.428571429,10838,13183.4285714286,25,19.2857142857143,612097,585885.571428571
2020-12-02,297073,246811.428571429,210404,198554,127477,129227.285714286,16413,13432.8571428571,25,18.8571428571429,651398,588053.285714286
2020-12-03,322965,265478.571428571,224110,196629.571428571,131539,128210.142857143,15701,13686.8571428571,12,18.4285714285714,694328,604032.285714286
2020-12-04,324100,270118.142857143,214635,193991.285714286,126537,125379.428571429,17982,13964.4285714286,18,18.5714285714286,683276,603479.142857143
2020-12-05,303947,277612.714285714,199687,194901.142857143,123814,124807.571428571,14702,14151,9,19,642163,611498
2020-12-06,243226,283901,162148,196534.571428571,119887,123995.571428571,13463,14207,8,17.8571428571429,538754,618665.285714286
2020-12-07,249045,288296.428571429,151539,194699.857142857,108786,123025,10628,14246.7142857143,21,16.8571428571429,520019,620290.714285714
2020-12-08,312885,293320.142857143,198562,194440.714285714,118799,122405.571428571,13258,14592.4285714286,22,16.4285714285714,643528,624780.857142857
2020-12-09,319657,296546.428571429,212636,194759.571428571,118213,121082.142857143,19396,15018.5714285714,7,13.8571428571429,669911,627425.571428571
2020-12-10,332462,297903.142857143,237695,196700.285714286,908903,232134.142857143,19134,15509,15,14.2857142857143,1498213,742266.285714286
2020-12-11,339769,300141.571428571,231133,199057.142857143,114463,230409.285714286,19081,15666,50,18.8571428571429,704497,745297.857142857
2020-12-12,304854,300271.142857143,201107,199260,110739,228541.428571429,18133,16156.1428571429,9,18.8571428571429,634850,744253.142857143
2020-12-13,245658,300618.571428571,168862,200219.142857143,100079,225711.714285714,16222,16550.2857142857,14,19.7142857142857,530838,743122.285714286
2020-12-14,260922,302315.285714286,158486,201211.571428571,94646,223691.714285714,11318,16648.8571428571,11,18.2857142857143,525387,743889.142857143
2020-12-15,297154,300068,213156,203296.428571429,107872,222130.714285714,18002,17326.5714285714,20,18,636206,742843.142857143
2020-12-16,364232,306435.857142857,241221,207380,107029,220533,21225,17587.8571428571,12,18.7142857142857,733726,751959.571428571
2020-12-17,362744,310761.857142857,254399,209766.285714286,101861,105241.285714286,20508,17784.1428571429,62,25.4285714285714,739582,643583.714285714
2020-12-18,356164,313104,244084,211616.428571429,100859,103297.857142857,19320,17818.2857142857,33,23,720462,645864.428571429
2020-12-19,291641,311216.428571429,201408,211659.428571429,96892,101319.714285714,21260,18265,48,28.5714285714286,611253,642493.428571429
2020-12-20,257733,312941.428571429,169759,211787.571428571,87517,99525.1428571429,18426,18579.8571428571,35,31.5714285714286,533473,642869.857142857
2020-12-21,265909,313653.857142857,186761,215826.857142857,79824,97407.7142857143,16781,19360.2857142857,22,33.1428571428571,549297,646285.571428571
2020-12-22,304247,314667.142857143,236518,219164.285714286,89481,94780.4285714286,19986,19643.7142857143,25,33.8571428571429,650261,648293.428571429
